iter	Passed	Remaining
0	187	55992
1	326	48580
2	473	46829
3	644	47675
4	805	47530
5	1012	49588
6	1251	52364
7	1414	51646
8	1592	51500
9	1740	50460
10	1874	49235
11	2024	48586
12	2222	49072
13	2417	49382
14	2565	48750
15	2705	48026
16	2907	48402
17	3070	48111
18	3238	47897
19	3395	47533
20	3542	47065
21	3695	46698
22	3847	46342
23	4022	46259
24	4147	45618
25	4275	45061
26	4429	44782
27	4557	44273
28	4714	44059
29	4897	44079
30	5037	43715
31	5195	43508
32	5346	43257
33	5496	43000
34	5647	42760
35	5768	42301
36	5920	42085
37	6092	42004
38	6257	41879
39	6402	41616
40	6531	41262
41	6715	41254
42	6873	41081
43	7050	41021
44	7228	40959
45	7400	40863
46	7563	40716
47	7705	40455
48	7835	40136
49	7954	39772
50	8088	39491
51	8254	39366
52	8409	39190
53	8554	38970
54	8722	38852
55	8891	38741
56	9046	38566
57	9203	38402
58	9346	38179
59	9520	38081
60	9679	37925
61	9862	37859
62	10051	37811
63	10286	37929
64	10473	37864
65	10648	37752
66	10793	37537
67	10999	37527
68	11229	37594
69	11411	37494
70	11569	37314
71	11718	37107
72	11871	36914
73	12042	36779
74	12170	36510
75	12325	36329
76	12486	36162
77	12640	35977
78	12778	35747
79	12928	35552
80	13075	35353
81	13232	35178
82	13394	35020
83	13545	34831
84	13705	34666
85	13850	34464
86	13998	34271
87	14130	34041
88	14257	33802
89	14384	33564
90	14496	33294
91	14603	33017
92	14766	32867
93	14921	32700
94	15056	32489
95	15218	32339
96	15380	32187
97	15508	31966
98	15628	31731
99	15779	31558
100	15921	31369
101	16047	31151
102	16208	31000
103	16334	30783
104	16522	30685
105	16678	30525
106	16808	30318
107	16969	30167
108	17114	29989
109	17234	29768
110	17381	29595
111	17473	29331
112	17634	29183
113	17746	28955
114	17871	28750
115	18016	28577
116	18176	28430
117	18342	28291
118	18480	28109
119	18614	27922
120	18753	27742
121	18928	27617
122	19139	27541
123	19291	27381
124	19440	27217
125	19616	27089
126	19779	26943
127	19929	26780
128	20073	26608
129	20223	26445
130	20397	26314
131	20563	26172
132	20702	25995
133	20819	25791
134	20981	25644
135	21115	25462
136	21274	25311
137	21430	25157
138	21553	24965
139	21684	24781
140	21791	24572
141	21911	24379
142	22052	24211
143	22214	24065
144	22367	23910
145	22518	23752
146	22647	23571
147	22786	23401
148	22940	23248
149	23051	23051
150	23207	22900
151	23338	22723
152	23482	22561
153	23623	22395
154	23828	22291
155	23998	22152
156	24182	22026
157	24344	21879
158	24483	21711
159	24630	21551
160	24869	21470
161	25085	21368
162	25234	21208
163	25390	21055
164	25547	20902
165	25688	20736
166	25831	20572
167	25968	20403
168	26111	20240
169	26270	20089
170	26468	19967
171	26643	19827
172	26806	19678
173	26957	19521
174	27126	19376
175	27335	19259
176	27504	19113
177	27661	18958
178	27810	18799
179	27987	18658
180	28129	18494
181	28292	18343
182	28475	18205
183	28619	18043
184	28779	17890
185	28952	17745
186	29124	17599
187	29292	17450
188	29437	17288
189	29585	17128
190	29736	16970
191	29886	16811
192	30046	16658
193	30195	16498
194	30368	16352
195	30507	16187
196	30667	16034
197	30836	15885
198	31014	15740
199	31159	15579
200	31314	15423
201	31484	15274
202	31685	15140
203	31854	14990
204	32092	14872
205	32247	14714
206	32366	14541
207	32472	14362
208	32638	14210
209	32776	14047
210	32935	13892
211	33073	13728
212	33208	13564
213	33343	13399
214	33472	13233
215	33594	13064
216	33733	12902
217	33877	12742
218	34010	12579
219	34149	12418
220	34290	12257
221	34431	12097
222	34597	11946
223	34770	11797
224	34918	11639
225	35081	11486
226	35251	11336
227	35421	11185
228	35536	11017
229	35686	10861
230	35817	10698
231	35961	10540
232	36101	10381
233	36281	10233
234	36418	10073
235	36549	9911
236	36693	9753
237	36851	9599
238	36991	9441
239	37134	9283
240	37284	9127
241	37421	8968
242	37611	8822
243	37796	8674
244	37971	8524
245	38155	8375
246	38328	8224
247	38500	8072
248	38678	7922
249	38855	7771
250	39038	7620
251	39191	7465
252	39329	7306
253	39472	7148
254	39667	7000
255	39810	6842
256	40003	6693
257	40123	6531
258	40252	6371
259	40371	6211
260	40511	6053
261	40628	5892
262	40752	5733
263	40857	5571
264	40971	5411
265	41111	5254
266	41221	5094
267	41344	4936
268	41469	4778
269	41621	4624
270	41768	4469
271	41903	4313
272	42045	4158
273	42188	4003
274	42314	3846
275	42444	3690
276	42614	3538
277	42757	3383
278	42945	3232
279	43090	3077
280	43248	2924
281	43421	2771
282	43553	2616
283	43691	2461
284	43836	2307
285	44011	2154
286	44172	2000
287	44310	1846
288	44428	1691
289	44580	1537
290	44772	1384
291	44940	1231
292	45099	1077
293	45242	923
294	45369	768
295	45514	615
296	45654	461
297	45807	307
298	45950	153
299	46081	0
